8.29,9.05,8.62,5.63,6.12,7.46,12.29,10.17,19.2,14.01
8.43,9.05,8.59,5.75,6.16,7.41,12.1,10.05,19.2,14.18
8.46,8.83,8.34,5.64,6.07,7.36,11.96,9.86,18.8,14.2
8.44,8.93,8.33,5.64,5.89,7.38,12.1,9.79,18.6,14.26
8.38,8.93,8.33,5.65,5.94,6.95,12.25,9.74,18.5,14.4
7.75,8.31,7.78,5.31,5.64,7,12.26,9.06,17.6,14.31
7.85,8.41,7.93,5.35,5.48,7.15,12.14,9.23,17.5,14.57
7.97,8.5,7.99,5.37,5.53,7.1,12.01,9.45,17.96,14.56
7.95,8.33,7.68,5.4,5.81,7.08,12,9.09,17.9,15
7.88,8.01,7.74,5.38,5.76,7.04,12.2,9.23,17.45,14.25
7.95,8.13,7.76,5.39,5.68,7.09,12.25,9.15,17.9,14.15
7.97,8.22,7.73,5.33,5.96,7.2,12.26,9.33,17.6,13.66
8.13,8.41,7.82,5.43,6.26,7.35,12.17,9.38,17.86,13.67
8.31,8.57,8.04,5.48,6.55,7.5,12.01,9.67,18.22,13.31
8.46,8.84,8.14,5.58,6.5,7.51,12.02,9.67,19,13.15
8.42,8.85,8.19,5.63,6.51,7.57,11.8,10.19,18.99,12.89
8.5,8.88,8.31,5.66,6.45,7.5,11.86,10.21,19.2,13.11
8.52,8.73,8.21,5.6,6.51,7.49,12.45,10.14,19.2,12.96
8.43,8.72,8.24,5.6,6.64,7.63,12.56,10.18,19.1,12.89
8.7,8.94,8.25,5.62,6.69,7.68,12.86,10.3,19.18,12.7
8.74,8.89,8.22,5.71,6.73,7.69,12.81,10.38,21.1,12.64
8.69,8.83,8.11,5.65,6.76,7.78,12.81,10.14,22.02,12.53
8.89,8.99,8.18,5.7,6.85,7.84,12.86,10.2,21.84,12.01
8.89,9.04,8.27,5.74,6.92,8.2,12.89,10.18,22.5,12.28
8.91,8.98,8.36,5.76,6.96,8.15,12.63,10.32,22.75,12.2
8.68,8.73,8.32,5.64,6.61,8.18,12.64,9.97,22.34,11.59
8.78,8.78,8.6,5.67,6.28,8.2,12.6,10.05,22.21,11.61
8.73,8.78,8.47,5.76,6.07,8.17,12.66,9.92,22.32,11.86
8.76,8.73,8.43,5.9,6.37,8.01,12.68,10.22,22.22,11.7
8.56,8.63,8.31,5.83,6.34,7.84,12.73,10,21.55,12
8.4,8.44,8.14,5.7,6.08,7.71,12.93,9.76,20.78,11.96
8.18,8.39,7.94,5.62,6.38,7.65,12.97,9.48,20.51,11.51
8.22,8.27,7.92,5.57,6.32,7.67,13.07,9.46,20.18,11.44
8.18,8.22,7.9,5.55,6.26,7.87,12.74,9.51,19.4,11.55
8.33,8.45,8.12,5.6,6.23,7.67,12.94,9.28,18.4,11.7
8.21,8.31,7.98,5.54,6.12,7.38,12.82,9.1,19.06,11.99
7.93,8.12,7.74,5.39,6.17,7.41,12.98,9.18,18.79,12
7.97,8.14,7.76,5.42,5.86,7.18,13.1,8.81,18.71,12.01
7.78,8.04,7.59,5.27,5.69,7.17,13.33,8.88,19.08,12.03
7.8,8.03,7.69,5.33,5.41,7.28,13.42,8.83,18.95,12.05
7.93,8.13,7.75,5.42,5.14,7.17,13.73,8.76,19.09,12.14
7.85,8,7.68,5.36,4.88,7.28,13.24,8.95,19,12.75
8.05,8.11,7.76,5.35,5.12,7.31,12.98,8.99,18.51,12.9
8.08,8.17,7.77,5.33,5.38,7.2,12.83,8.97,18.45,12.64
7.9,7.99,7.64,5.29,5.6,7.06,12.75,8.87,18.5,12.4
7.83,7.86,7.45,5.24,5.32,7.01,13.14,8.45,18.15,12.21
7.83,7.79,7.4,5.2,5.11,6.89,12.79,8.48,18.5,12.11
7.59,7.6,7.3,5.12,4.98,7,12.26,8.06,17.83,11.87
7.7,7.48,7.43,5.16,4.73,6.8,12.29,7.7,17.18,11.98
7.37,7.3,7.25,5.02,4.49,6.49,12.67,7.63,16.63,12.08
6.88,7.22,6.97,4.85,4.27,6.44,12.28,7.88,16.81,12.03
6.66,7.37,6.89,4.61,4.06,6.57,12.38,7.09,16.14,12.41
6.81,7.75,6.94,4.7,3.86,6.13,12.04,6.38,15.82,12.54
6.39,7.41,6.36,4.41,3.67,6.01,12.2,5.74,14.76,12.4
6.25,7.79,6.38,4.28,3.49,5.51,12.54,5.21,14.99,12.4
5.81,7.84,6.2,4.02,3.32,5.33,13.04,5.73,16.42,12.8
5.5,7.72,6.29,4.01,3.42,5.81,12.92,6.12,16.4,12.75
6.02,8.13,6.82,4.26,3.5,5.9,12.24,6.19,16.76,12.98
